
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-29 17:42:32 PC cycles counter frequency: 2900000000 Hz
2025-07-29 17:42:32 Found 1 device usable for the NTP daemon.
2025-07-29 17:42:32 Query-only mode, not updating SHM.
2025-07-29 17:42:32 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-29 17:44:20.0498370 1753811060.049837112 1753811060.049840212 -0.000003338, ltcy: 0.20 us, exec: 0.30 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:21.0501058 1753811061.050105810 1753811061.050107002 -0.000001431, ltcy: 0.18 us, exec: 0.37 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:22.0503901 1753811062.050390005 1753811062.050386429 +0.000003338, ltcy: 0.18 us, exec: 0.29 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:23.0506360 1753811063.050636053 1753811063.050633669 +0.000002146, ltcy: 0.20 us, exec: 0.37 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:24.0509199 1753811064.050920010 1753811064.050919294 +0.000000477, ltcy: 0.18 us, exec: 0.30 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:25.0512052 1753811065.051205158 1753811065.051203966 +0.000000954, ltcy: 0.17 us, exec: 0.30 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:26.0514219 1753811066.051421881 1753811066.051420927 +0.000000715, ltcy: 0.21 us, exec: 0.51 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:27.0516592 1753811067.051659346 1753811067.051657438 +0.000001669, ltcy: 0.19 us, exec: 0.56 us, limit: 0.39 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:28.0518799 1753811068.051879883 1753811068.051878929 +0.000000715, ltcy: 0.19 us, exec: 0.41 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:29.0521338 1753811069.052133799 1753811069.052132130 +0.000001431, ltcy: 0.18 us, exec: 0.48 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:30.0523837 1753811070.052383661 1753811070.052378893 +0.000004530, ltcy: 0.19 us, exec: 0.29 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:31.0526566 1753811071.052656651 1753811071.052649260 +0.000007153, ltcy: 0.22 us, exec: 0.50 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:32.0529477 1753811072.052947760 1753811072.052940369 +0.000007153, ltcy: 0.17 us, exec: 0.30 us, limit: 0.38 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:33.0531981 1753811073.053198099 1753811073.053193569 +0.000004292, ltcy: 0.18 us, exec: 0.32 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:34.0535139 1753811074.053514004 1753811074.053510427 +0.000003338, ltcy: 0.22 us, exec: 0.35 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:35.0537883 1753811075.053788424 1753811075.053787947 +0.000000238, ltcy: 0.17 us, exec: 0.32 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:36.0540099 1753811076.054009914 1753811076.054009676 +0.000000000, ltcy: 0.19 us, exec: 0.49 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:37.0542363 1753811077.054236412 1753811077.054232121 +0.000004053, ltcy: 0.22 us, exec: 0.32 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-29 17:44:38.0545415 1753811078.054541588 1753811078.054533958 +0.000007391, ltcy: 0.18 us, exec: 0.26 us, limit: 0.37 us, st: 0x0014, NTP leap: 0x00
