
mbgsvcd v4.2.28 copyright Meinberg 2010-2024

2025-07-09 14:43:34 PC cycles counter frequency: 2900000000 Hz
2025-07-09 14:43:34 Found 1 device usable for the NTP daemon.
2025-07-09 14:43:34 Query-only mode, not updating SHM.
2025-07-09 14:43:34 GNS181PEX: Is synchronized
GNS181PEX: 2025-07-09 14:45:29.1798867 1752072329.179886818 1752072329.180026770 -0.000140190, ltcy: 0.16 us, exec: 0.33 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:30.1801225 1752072330.180122614 1752072330.180276394 -0.000154018, ltcy: 0.12 us, exec: 0.25 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:31.1803725 1752072331.180372477 1752072331.180503845 -0.000131607, ltcy: 0.18 us, exec: 0.33 us, limit: 0.34 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:32.1806064 1752072332.180606365 1752072332.180740118 -0.000133753, ltcy: 0.05 us, exec: 0.17 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:33.1807693 1752072333.180769444 1752072333.180901289 -0.000131845, ltcy: 0.08 us, exec: 0.14 us, limit: 0.33 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:34.1809655 1752072334.180965662 1752072334.181096077 -0.000130415, ltcy: 0.09 us, exec: 0.31 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:35.1811643 1752072335.181164265 1752072335.181293249 -0.000128984, ltcy: 0.07 us, exec: 0.14 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:36.1813480 1752072336.181348085 1752072336.181472301 -0.000124216, ltcy: 0.11 us, exec: 0.19 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:37.1815666 1752072337.181566715 1752072337.181685209 -0.000118732, ltcy: 0.18 us, exec: 0.31 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:38.1818158 1752072338.181815863 1752072338.181932449 -0.000116825, ltcy: 0.19 us, exec: 0.33 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:39.1820664 1752072339.182066441 1752072339.182183981 -0.000117779, ltcy: 0.18 us, exec: 0.32 us, limit: 0.31 us, st: 0x0014, NTP leap: 0x00
GNS181PEX: 2025-07-09 14:45:40.1823157 1752072340.182315826 1752072340.182432413 -0.000116825, ltcy: 0.16 us, exec: 0.52 us, limit: 0.32 us, st: 0x0014, NTP leap: 0x00
